Model Name,AP,AP@.50,AP#.75,AP-S,AP-M,AP-L,AR1,AR10,AR100,AR-S,AR-M,AR-L
Yolov10_N,0.7789914590336103,1.0,0.9882162899834283,-1.0,0.6447469746974698,0.7859297065626794,0.16777777777777775,0.8251851851851851,0.8251851851851851,-1.0,0.7375,0.8278625954198475
Yolov10_M,0.8008512989390648,1.0,0.9887940995357395,-1.0,0.6978547854785477,0.8048614797340683,0.1703703703703704,0.8403703703703705,0.8403703703703705,-1.0,0.7375,0.8435114503816793
Yolov10_S,0.775513925742758,1.0,0.9876243096946514,-1.0,0.7031117397454031,0.7783887032020792,0.1662962962962963,0.8177777777777777,0.8177777777777777,-1.0,0.75,0.8198473282442749
Yolov10_X,0.7924133501561964,0.9900990099009901,0.9900253965917036,-1.0,0.7266914191419143,0.7949386101778362,0.16999999999999998,0.8329629629629629,0.8329629629629629,-1.0,0.75,0.8354961832061069
RtDetr,0.8082002948672337,1.0,0.9900990099009901,-1.0,0.7217114568599717,0.8122409905194878,0.17222222222222222,0.844074074074074,0.844074074074074,-1.0,0.7375,0.8473282442748091
RetinaNet,0.7745024031710239,1.0,1.0,-1.0,0.7068481848184818,0.7777604257499708,0.1648148148148148,0.8166666666666667,0.8166666666666667,-1.0,0.7375,0.8190839694656489
EfficientDet,0.6784688817897979,1.0,0.8600915669413729,-1.0,0.571027817067421,0.6825231316825765,0.15074074074074076,0.7296296296296296,0.7296296296296296,-1.0,0.6375,0.7324427480916029
Yolov11_N,0.7986630563412725,1.0,0.9899885899370605,-1.0,0.6202086280056577,0.8033288929313394,0.17074074074074072,0.8377777777777776,0.8377777777777776,-1.0,0.7,0.8419847328244275
Yolov11_S,0.8060988088256804,1.0,0.988008800880088,-1.0,0.7673267326732673,0.8084599750719672,0.17074074074074075,0.8462962962962963,0.8462962962962963,-1.0,0.775,0.8484732824427482
Yolov11_M,0.8088998027026886,1.0,0.9900990099009901,-1.0,0.734983498349835,0.8115008640209451,0.16925925925925928,0.8474074074074075,0.8474074074074075,-1.0,0.775,0.8496183206106869
Yolov11_L,0.8125648100165487,1.0,1.0,-1.0,0.7344224422442244,0.8152310442060505,0.17222222222222225,0.8485185185185186,0.8485185185185186,-1.0,0.75,0.8515267175572518
Yolov11_X,0.8081530095542954,1.0,1.0,-1.0,0.803506600660066,0.8100999263297864,0.1714814814814815,0.8466666666666667,0.8466666666666667,-1.0,0.8125,0.8477099236641221
Combined Method,0.8259671453141177,1.0,0.9891822515584892,-1.0,0.8348734873487348,0.8269064397225101,0.17333333333333337,0.865925925925926,0.865925925925926,-1.0,0.8375,0.8667938931297711
