Model Name,AP,AP@.50,AP#.75,AP-S,AP-M,AP-L,AR1,AR10,AR100,AR-S,AR-M,AR-L
Yolov10_N,0.6277317787339766,0.9801980198019802,0.8207428709286521,0.5320042824059384,0.6478473996677874,0.7999999999999999,0.20185185185185187,0.6796296296296295,0.6796296296296295,0.59375,0.7,0.8
Yolov10_M,0.6634533125567018,0.9800127557581727,0.8376902806116571,0.5814543962205025,0.6822051196238604,0.7999999999999999,0.20987654320987653,0.7098765432098766,0.7098765432098766,0.634375,0.7279069767441861,0.8
Yolov10_S,0.6365921513144533,0.9697988666791206,0.8129100235285043,0.5273816525778316,0.6659846521755637,0.6666666666666666,0.20246913580246914,0.6938271604938271,0.6938271604938271,0.575,0.7224806201550388,0.8
Yolov10_X,0.6293713782266739,0.9504950495049505,0.8032809090144357,0.5366897859384405,0.650903547406882,0.8999999999999999,0.20432098765432097,0.6839506172839507,0.6839506172839507,0.58125,0.7077519379844961,0.9
RtDetr,0.6815524492564352,0.9801980198019802,0.8869343875769184,0.5804061250459964,0.7066039821273672,0.7999999999999999,0.22037037037037038,0.7240740740740741,0.7240740740740741,0.63125,0.7465116279069768,0.8
RetinaNet,0.5359637873089171,0.8680620634694477,0.6272058896102112,0.4132228100230556,0.5689741247242682,0.6999999999999998,0.18024691358024691,0.5950617283950617,0.5950617283950617,0.459375,0.627906976744186,0.7
EfficientDet,0.3865401843903742,0.6708377531672431,0.39518014931505246,0.33736888350489186,0.3962666409434253,0.29999999999999993,0.14135802469135803,0.4314814814814816,0.4314814814814816,0.415625,0.4364341085271318,0.3
Yolov11_N,0.6482840590648155,0.9801980198019802,0.8451899121916197,0.5479427326798187,0.6733607622440054,0.8999999999999999,0.2074074074074074,0.6975308641975309,0.6975308641975309,0.59375,0.7217054263565892,0.9
Yolov11_S,0.6737152710998501,0.9801980198019802,0.8786412767009505,0.5961006152901713,0.6937529741486476,0.7666666666666666,0.2111111111111111,0.7185185185185186,0.7185185185185186,0.6375,0.7372093023255815,0.9
Yolov11_M,0.6588580982104045,0.9801980198019802,0.8400908535004554,0.5362830806890213,0.6890318499758209,0.8999999999999999,0.21543209876543207,0.7154320987654322,0.7154320987654322,0.578125,0.748062015503876,0.9
Yolov11_L,0.669861637106382,0.9697318219083056,0.8355058737607423,0.5477529120276351,0.704199616170104,0.8999999999999999,0.21049382716049383,0.7234567901234568,0.7234567901234568,0.5875,0.7558139534883721,0.9
Yolov11_X,0.632380513883468,0.9400179028891901,0.7910279385632588,0.4923438404069181,0.6690127741926942,0.8999999999999999,0.2049382716049383,0.6820987654320988,0.6820987654320988,0.51875,0.7209302325581396,0.9
Combined Method,0.6977768458115206,0.9779084158415844,0.8575763538410089,0.672503421641453,0.7033699857292558,0.8999999999999999,0.20864197530864198,0.7574074074074074,0.7574074074074074,0.75,0.7581395348837209,0.9
